df_col,cpu->gpu,cost-cpu->gpu,gpu->cpu,cost-gpu->cpu
course_title,409.0,399.21120281314643,1640.0,3204.0435430188804
num_ratings,8.45,9.285300660742399,134.0,139.02399020896004
useful,302.0,278.6169510287264,1420.0,698.14098710148
easy,303.0,278.4867314302064,1390.0,695.58432913848
liked,303.0,278.56523702548645,1380.0,697.22371287048
num_reviews,8.51,9.285300660742399,134.0,139.02399020896004
reviews,1530.0,1318.7827547637467,4470.0,22054.165171680484
course_rating,347.0,322.01870707324645,1460.0,1640.2531827394803
course_rating_int,13.0,14.0260096214272,153.0,135.92531397632
course_code,345.0,299.47233625102643,1420.0,1121.25855544088
course_title,408.0,399.21120281314643,1640.0,3204.0435430188804
num_ratings,8.85,9.285300660742399,136.0,139.02399020896004
useful,308.0,278.6169510287264,1420.0,698.14098710148
easy,386.0,278.4867314302064,1420.0,695.58432913848
liked,303.0,278.56523702548645,1390.0,697.22371287048
num_reviews,8.48,9.285300660742399,140.0,139.02399020896004
reviews,1690.0,1318.7827547637467,4400.0,22054.165171680484
course_rating,350.0,322.01870707324645,1440.0,1640.2531827394803
course_rating_int,13.6,14.0260096214272,156.0,135.92531397632
course_title,419.0,399.21120281314643,1630.0,3204.0435430188804
reviews,1560.0,1318.7827547637467,4340.0,22054.165171680484
course_code,364.0,299.47233625102643,1430.0,1121.25855544088
num_reviews,8.77,9.285300660742399,210.0,139.02399020896004
easy,305.0,278.4867314302064,1390.0,695.58432913848
num_ratings,8.41,9.285300660742399,136.0,139.02399020896004
useful,302.0,278.6169510287264,1360.0,698.14098710148
liked,306.0,278.56523702548645,1400.0,697.22371287048
course_rating_int,12.8,14.0260096214272,156.0,135.92531397632
course_rating,349.0,322.01870707324645,1450.0,1640.2531827394803
course_code,322.0,331.1841024026601,1530.0,1863.81481465388
course_unit,545.0,312.71908794458005,1500.0,1478.22135210188
course_num,568.0,310.77046691888006,1540.0,1437.52950589688
course_code,329.0,331.1841024026601,1540.0,1863.81481465388
course_title,419.0,429.38432160332,1780.0,3914.46918218288
num_ratings,54.3,17.6928308232,375.0,271.3030434832
useful,322.0,310.67825399744004,1530.0,1435.60388056088
easy,313.0,310.55738030312,1530.0,1433.07975005288
liked,311.0,310.63432824770007,1530.0,1434.68660632988
num_reviews,21.4,17.6928308232,296.0,271.3030434832
reviews,1540.0,1337.5062063185,4390.0,22512.535995748884
course_rating,349.0,355.96258667798,1580.0,2381.24855781188
course_rating_int,24.8,26.4375905696,355.0,260.19117559600005
course_unit,541.0,312.71908794458005,1510.0,1478.22135210188
course_num,550.0,310.77046691888006,1530.0,1437.52950589688
num_reviews,19.6,17.6928308232,283.0,271.3030434832
num_reviews,16.6,17.6928308232,296.0,271.3030434832
course_title,317.0,295.33414848188,1230.0,2677.0857610368803
reviews,916.0,902.5923736605199,2760.0,15090.04399537088
num_reviews,39.3,12.392767788,152.0,187.915329688
easy,294.0,214.53631443176,1000.0,989.83462625888
course_unit,388.0,215.95751493044,1050.0,1019.51267620088
num_ratings,15.7,12.392767788,135.0,187.915329688
useful,217.0,214.55095634834,995.0,990.14038433588
liked,218.0,214.48896185048002,1020.0,988.8457916268801
course_rating_int,18.5,18.613394864,173.0,180.57037714
course_num,389.0,214.66559943986,990.0,992.53440502388
course_rating,252.0,246.02204262127998,1030.0,1647.33159064688
course_code,281.0,228.6364800983,1030.0,1284.27965440988
course_code,224.0,228.6364800983,1100.0,1284.27965440988
course_title,302.0,295.33414848188,1120.0,2677.0857610368803
num_ratings,15.6,12.392767788,134.0,187.915329688
useful,216.0,214.55095634834,979.0,990.14038433588
easy,217.0,214.53631443176,1020.0,989.83462625888
liked,218.0,214.48896185048002,985.0,988.8457916268801
num_reviews,15.7,12.392767788,136.0,187.915329688
reviews,905.0,902.5923736605199,2770.0,15090.04399537088
course_rating,251.0,246.02204262127998,1020.0,1647.33159064688
course_rating_int,18.2,18.613394864,134.0,180.57037714
course_unit,386.0,215.95751493044,979.0,1019.51267620088
